t_sec,iso_time,0C_rpm,03_fuelsys,05_ect,0B_map,04_load,0E_adv,14_o2,0F_iat,06_stft,07_ltft,42_volt,11_tps,0D_speed,raw
27.661,2026-08-30T09:33:38.134,0.0,0100,,,,,,23,,,,,,0C=0000;03=0100;0F=3F
28.2,2026-08-30T09:33:38.673,0.0,0100,,,,,,,0.0,,,,,0C=0000;03=0100;06=80
28.74,2026-08-30T09:33:39.213,0.0,0100,,,,,,,,0.0,,,,0C=0000;03=0100;07=80
29.31,2026-08-30T09:33:39.783,0.0,0100,,,,,,,,,11.6,,,0C=0000;03=0100;42=2D50
29.85,2026-08-30T09:33:40.323,0.0,0100,,,,,,,,,,10.196,,0C=0000;03=0100;11=1A
30.42,2026-08-30T09:33:40.894,0.0,,,,,,,,,,,,0,0C=0000;03=ND;0D=00
30.96,2026-08-30T09:33:41.433,0.0,0100,22,,,,,,,,,,,0C=0000;03=0100;05=3E
31.53,2026-08-30T09:33:42.003,0.0,0100,,98,,,,,,,,,,0C=0000;03=0100;0B=62
32.07,2026-08-30T09:33:42.543,0.0,0100,,,0.0,,,,,,,,,0C=0000;03=0100;04=00
32.64,2026-08-30T09:33:43.113,,,,,,,,,,,,,,0C=ND;03=ND;0E=ND
33.18,2026-08-30T09:33:43.653,,,,,,,,,,,,,,0C=ND;03=ND;14=ND
33.75,2026-08-30T09:33:44.223,,,,,,,,,,,,,,0C=ND;03=ND;0F=ND
34.29,2026-08-30T09:33:44.764,,,,,,,,,,,,,,0C=ND;03=ND;06=ND
34.83,2026-08-30T09:33:45.303,,,,,,,,,,,,,,0C=ND;03=ND;07=ND
35.37,2026-08-30T09:33:45.843,,,,,,,,,,,,,,0C=ND;03=ND;42=ND
35.94,2026-08-30T09:33:46.413,,,,,,,,,,,,,,0C=ND;03=ND;11=ND
36.481,2026-08-30T09:33:46.954,,0100,,,,,,,,,,,0,0C=ND;03=0100;0D=00
37.05,2026-08-30T09:33:47.523,0.0,0100,22,,,,,,,,,,,0C=0000;03=0100;05=3E
37.59,2026-08-30T09:33:48.063,,,,,,,,,,,,,,0C=ND;03=ND;0B=ND
38.13,2026-08-30T09:33:48.604,,,,,0.0,,,,,,,,,0C=ND;03=ND;04=00
38.67,2026-08-30T09:33:49.143,0.0,0100,,,,0.0,,,,,,,,0C=0000;03=0100;0E=80
39.27,2026-08-30T09:33:49.743,0.0,0100,,,,,1.275,,,,,,,0C=0000;03=0100;14=FF80
39.87,2026-08-30T09:33:50.343,0.0,0100,,,,,,23,,,,,,0C=0000;03=0100;0F=3F
40.442,2026-08-30T09:33:50.915,0.0,0100,,,,,,,0.0,,,,,0C=0000;03=0100;06=80
40.98,2026-08-30T09:33:51.454,0.0,0100,,,,,,,,0.0,,,,0C=0000;03=0100;07=80
41.55,2026-08-30T09:33:52.023,0.0,0100,,,,,,,,,11.6,,,0C=0000;03=0100;42=2D50
42.09,2026-08-30T09:33:52.564,0.0,0100,,,,,,,,,,10.196,,0C=0000;03=0100;11=1A
42.63,2026-08-30T09:33:53.104,,0100,,,,,,,,,,,,0C=ND;03=0100;0D=ND
43.17,2026-08-30T09:33:53.644,0.0,0100,22,,,,,,,,,,,0C=0000;03=0100;05=3E
43.71,2026-08-30T09:33:54.184,0.0,0100,,98,,,,,,,,,,0C=0000;03=0100;0B=62
44.251,2026-08-30T09:33:54.724,0.0,0100,,,0.0,,,,,,,,,0C=0000;03=0100;04=00
44.79,2026-08-30T09:33:55.264,0.0,0100,,,,0.0,,,,,,,,0C=0000;03=0100;0E=80
